name,hearts,speed,strength_total,strength_melee,strength_range,strength_magic,defense_total,defense_melee,defense_range,defense_magic,tenacity,lethality,resilience,vampirism,anti-vampirism,fire_resistance
Template	,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Sammy		,12,	20	,15	,0	,0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0	,0
SammyV2		,12,	35	,30	,0	,0	,0	,25	,0	,0	,0	,0	,35	,0	,0	,0	,0
Keunotor	,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Shrek		,13,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,50	,0
Kyojuro		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1
KyojuroV2	, 8,	40	,0	,15	,0	,0	,0	,0	,0	,0	,100,0	,0	,0	,0	,0
Eren		,12,	20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
ErenV2		,12,	0	,0	,0	,0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0	,0
BigChungus	,20,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Matt		,10,	20	,0	,20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Thanos		,14,	0	,0	,0	,0	,0	,0	,0	,0	,0	,50	,0	,0	,0	,0	,0
Amogus		,12,	0	,0	,0	,0	,0	,0	,0	,0	,20	,0	,0	,0	,0	,0	,0
Gargamel	,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Kratos		, 9,	30	,0	,30	,0	,0	,0	,0	,0	,0	,0	,0	,100,0	,0	,0
Frisk		,12,	40	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Chara		,12,	0	,0	,20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Dio			,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,100,0	,10	,0	,0
Sett		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
MrIncreV1	,12,	40	,0	,0	,0	,0	,0	,0	,0	,40	,0	,0	,0	,0	,0	,0
MrIncreV2	,12,	20	,0	,0	,0	,0	,0	,0	,0	,20	,0	,0	,0	,0	,0	,0
MrIncreV3	,12,	0	,0	,0	,0	,0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0
MrIncreV4	,12,	0	,0	,0	,0	,0	,0	,30	,0	,0	,0	,0	,0	,0	,0	,0
Warwick		,10,	10	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Undyne		,12,	25	,0	,0	,0	,0	,0	,0	,0	,0	,50	,0	,0	,0	,0	,0
Beugleur	,13,	0	,0	,0	,0	,0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0
Shoto		,12,	20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1
Gadjah		,12,	25	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Henry		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Capybara	,12,	20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Kira		,12,	20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Sonic		,12,	60	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,1
Foxy		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
TheLamb		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Mitsuri		,12,	0	,0	,20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Nerd		,12,	0	,0	,0	,0	,0	,0	,0	,0	,25	,0	,0	,0	,0	,0	,0
Roy Mustang	,12,	0	,0	,0	,0	,0	,0	,10	,0	,15	,0	,0	,0	,0	,0	,0
Luffy		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Drattak		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Keiji		,12,	0	,0	,0	,0	,0	,0	,0	,30	,0	,30	,0	,30	,0	,0	,0
Giga Chad	,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Bob			,13,	0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
Papa Pig	,13,	0	,0	,0	,0	,0	,15	,0	,0	,0	,0	,0	,0	,0	,0	,0
Kisame		,12,	0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,10	,0	,0
Hercules	,12,	20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
HerculesV2	,10,	0	,0	,20	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0	,0
